cliente,segmento,meta_cpl,leads,cpl,criativo,pix_valor,pix_status,link_grupo,conta_status
Larandelly,,,0,,,,pendente,,ativa
Brivva,,,0,,,,pendente,,ativa
Jhonatan,Calhas e estrututuras,10.0,1,44.05,,1200,pago,https://web.whatsapp.com/,parada
Loja de roupa,Vestúario moda feminina,8.0,6,11.04,,1200,pago,https://chat.whatsapp.com/BCNSHGhLzoi9VhYlG4KyUy,parada
Premium Celulares,Celulares e manutenção ,30.0,13,20.56,,1200,pago,https://chat.whatsapp.com/KLt5CjgX9jCFl3aIUdl7Yd,ativa
Mamuh Steakhouse,Restaurante ,8.0,7,12.34,,1200,pendente,https://web.whatsapp.com/,parada
Limer Seguros,Seguros e Consórcios,25.0,12,23.87,,1200,pago,https://chat.whatsapp.com/FCKinCrhmGo5dPWvGG62MN,ativa
Instituto Lopes Machado,Odontologia,25.0,4,53.09,,2000,pago,https://chat.whatsapp.com/KvOO3UO6KyK7IKW8Wr8gEM,ativa
Saldão Atacadasso Santarém,Atacado Santarém,2.0,109,2.63,,1200,pago,https://chat.whatsapp.com/IN0hSDsO7dV0Q6sBK7ErNE,ativa
Exclusive O'Store,Loja especializada Oakley,60.0,14,16.36,,2000,pago,https://web.whatsapp.com/,ativa
Disk Farma Piracicaba,Farmácia de Manipulados,6.0,326,5.56,,4000,pago,https://chat.whatsapp.com/GTtjaOSq6DpLUmCH4XqhpS,ativa
Mercado da Semijoia,Shopping Atacadista,6.0,2,106.34,,1500,pago,https://web.whatsapp.com/,ativa
Dr. Ademir Esperidião,Nutrologia,25.0,32,6.89,,1500,pago,https://web.whatsapp.com/,ativa
Stillo Modas,Vestúario Feminino,4.0,239,2.71,,2000,pago,https://web.whatsapp.com/,ativa
Saldão Atacadasso Limeira-SP,Atacado ,6.0,66,2.96,,1200,pago,https://web.whatsapp.com/,ativa
Athenas Móveis planejados,Móveis Planejados,25.0,9,22.2,,3600,pago,https://web.whatsapp.com/,parada
Tendência Planejados,Movéis Planejados,20.0,23,9.2,,1200,pago,https://web.whatsapp.com/,ativa
Bom Boi,Açogue ,5.0,53,4.98,,1200,pago,https://web.whatsapp.com/,ativa
Saldão Atacadasso Macapá,Atacado Macapá,2.5,161,1.59,,1200,pago,https://web.whatsapp.com/,ativa
Limer Módulos,Módulos e painéis eletrônicos,30.0,2,103.43,,2900,pago,https://web.whatsapp.com/,ativa
